location_group,job_id,craft,crew_count,starting_location,workday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,notes
Beaumont,YL07,EN/FO,2,Beaumont,5/12's,05:00,05:00,05:00,05:00,05:00,OFF,OFF,"Current schedule effective August 24, 2026."
Beaumont,LB02,EN/FO/S1,3,Beaumont,5/12's,10:00,OFF,OFF,10:00,10:00,10:00,10:00,"Changed effective August 24, 2026. Qualified Engineer, Qualified Conductor, Qualified Brakeman."
Beaumont,LB08,EN/FO/BK,3,Beaumont,5/12's,18:00,18:00,18:00,OFF,OFF,18:00,18:00,"Changed effective August 24, 2026. Qualified Engineer, Qualified Conductor, Qualified Brakeman."
Beaumont,LB05,EN/FO/S1,3,Beaumont,5/12's,22:00,22:00,22:00,22:00,OFF,OFF,22:00,"Current schedule effective August 24, 2026."
Beaumont,LB07,EN/FO,2,Beaumont,5/12's,23:59,23:59,23:59,23:59,23:59,OFF,OFF,"Current schedule effective August 24, 2026."
Beaumont,RLF 1,EN/FO/S1,3,Beaumont,5/12's,OFF,10:00 LB02,10:00 LB02,18:00 LB08,22:00 LB05,22:00 LB05,OFF,"Established effective August 24, 2026. Relief 1."
Beaumont,RLF 5,EN/FO,2,Port Arthur/Beaumont,5/12's,OFF,OFF,08:00 BM02,08:00 BM02,18:00 LB08,23:59 LB07,23:59 LB07,"Changed effective August 24, 2026. Relief 5. Qualified Engineer and Qualified Conductor."
Port Arthur,LP01 - RC,FO/S1,2,Port Arthur,5/12's,06:00,06:00,06:00,06:00,OFF,OFF,06:00,"Changed effective August 24, 2026. Qualified RCO Conductor and Qualified RCO Brakeman."
Port Arthur,BM02,EN/FO,2,Port Arthur,5/12's,08:00,08:00,OFF,OFF,08:00,08:00,08:00,"Current schedule effective August 24, 2026."
Port Arthur,BM01,EN/FO/S1,3,Port Arthur,5/12's,15:30,15:30,15:30,15:30,15:30,OFF,OFF,"Current schedule effective August 24, 2026."
Port Arthur,LP03,EN/FO/S1,3,Port Arthur,5/12's,20:00,20:00,20:00,20:00,20:00,OFF,OFF,"Current schedule effective August 24, 2026."
Port Arthur,LP04 - RC,FO/S1,2,Port Arthur,5/12's,OFF,OFF,18:00,18:00,18:00,18:00,18:00,"Changed effective August 24, 2026. Qualified RCO Conductor and Qualified RCO Brakeman."
Port Arthur,RLF 3 - RC,FO/S1,2,Port Arthur,5/12's,18:00 LP04,18:00 LP04,OFF,OFF,06:00 LP01,06:00 LP01,15:30 BM01,"Established effective August 24, 2026. Relief 3 RCO assignment."
Mossville,RL10,EN/CO/B1,3,Mossville,5/12's,06:00,06:00,06:00,06:00,06:00,OFF,OFF,"Changed effective August 24, 2026. Qualified Engineer, Qualified Conductor, Qualified Brakeman."
Mossville,RL11,EN/FO/S1,3,Mossville,5/12's,12:00,12:00,12:00,12:00,12:00,OFF,OFF,"Current schedule effective August 24, 2026."
Mossville,L18,EN/CO,2,Mossville,5/12's,OFF,16:15,16:15,16:15,16:15,16:15,OFF,"Current schedule effective August 24, 2026."
Mossville,RL13,EN/CO/B1,3,Mossville,5/12's,16:00,OFF,OFF,16:00,16:00,16:00,16:00,"Changed effective August 24, 2026. Qualified Engineer, Qualified Conductor, Qualified Brakeman."
Mossville,RL15,EN/CO/B1,3,Mossville,5/12's,18:00,18:00,18:00,OFF,OFF,18:00,18:00,"Changed effective August 24, 2026. Qualified Engineer, Qualified Conductor, Qualified Brakeman."
Mossville,R401,EN/FO/S1,3,Mossville,5/12's,16:15 L18,17:00 RL13,17:00 RL13,18:00 RL15,18:00 RL15,OFF,OFF,"Current relief schedule effective August 24, 2026."
Mossville,RL12,EN/CO/B1,3,Mossville,5/12's,22:00,22:00,22:00,22:00,22:00,OFF,OFF,"Changed effective August 24, 2026. Qualified Engineer, Qualified Conductor, Qualified Brakeman."
Leesville,RL01,EN/FO/S1,3,Leesville,5/12's,06:00,06:00,06:00,06:00,06:00,OFF,OFF,"Current schedule effective August 24, 2026."
Leesville,RL04,EN/FO,2,Leesville,5/12's,OFF,12:00,12:00,12:00,12:00,12:00,OFF,"Current schedule effective August 24, 2026."
Leesville,RL05,EN/FO,2,Leesville,5/12's,18:00,18:00,18:00,18:00,OFF,OFF,06:00,"Current schedule effective August 24, 2026."
