location_group,job_id,craft,crew_count,starting_location,workday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,notes
Beaumont,YL07,EN/FO/BK,3,Beaumont,5/12's,05:00,05:00,05:00,05:00,05:00,OFF,OFF,"Qualified Engineer, Qualified Conductor, Qualified Brakeman. No written August 24 change provided."
Beaumont,LB02,EN/FO/BK,3,Beaumont,5/12's,10:00,OFF,OFF,10:00,10:00,10:00,10:00,"Changed effective August 24, 2026. Qualified Engineer, Qualified Conductor, Qualified Brakeman."
Beaumont,LB08,EN/CO/B1,3,Beaumont,5/12's,18:00,18:00,18:00,OFF,OFF,18:00,18:00,"Changed effective August 24, 2026. Qualified Engineer, Qualified Conductor, Qualified Brakeman."
Beaumont,LB05,EN/FO/BK,3,Beaumont,5/12's,22:00,22:00,22:00,22:00,OFF,OFF,22:00,"Qualified Engineer, Qualified Conductor, Qualified Brakeman. No written August 24 change provided."
Beaumont,LB07,EN/CO,2,Beaumont,5/12's,23:59,23:59,23:59,23:59,23:59,OFF,OFF,"Changed effective July 27, 2026. Qualified Engineer and Qualified Conductor. No written August 24 change provided."
Beaumont,Relief 1,EN/CO/B1,3,Beaumont,5/12's,OFF,10:00 LB02,10:00 LB02,18:00 LB08,22:00 LB05,22:00 LB05,OFF,"Established effective August 24, 2026. Qualified Engineer, Qualified Conductor, Qualified Brakeman."
Beaumont,Relief 5,EN/CO,2,Port Arthur/Beaumont,5/12's,OFF,OFF,08:00 BM02,08:00 BM02,18:00 LB08,23:59 LB07,23:59 LB07,"Changed effective August 24, 2026. Qualified Engineer and Qualified Conductor. Starting location Port Arthur/Beaumont."
Port Arthur,LP01,RC FO/S1,2,Port Arthur,5/12's,06:00,06:00,06:00,06:00,OFF,OFF,06:00,"Changed effective August 24, 2026. Qualified RCO Conductor and Qualified RCO Brakeman."
Port Arthur,BM02,EN/FO,2,Port Arthur,5/12's,08:00,08:00,OFF,OFF,08:00,08:00,08:00,"Qualified Engineer and Qualified Conductor. No written August 24 change provided."
Port Arthur,BM01,EN/FO/BK,3,Port Arthur,5/12's,15:30,15:30,15:30,15:30,15:30,OFF,OFF,"Qualified Engineer, Qualified Conductor, Qualified Brakeman; no written August 24 change provided."
Port Arthur,LP03,EN/CO/B1,3,Port Arthur,5/12's,20:00,20:00,20:00,20:00,20:00,OFF,OFF,"Changed effective July 27, 2026. Qualified Engineer, Qualified Conductor, Qualified Brakeman. No written August 24 change provided."
Port Arthur,LP04,RC FO/S1,2,Port Arthur,5/12's,OFF,OFF,18:00,18:00,18:00,18:00,18:00,"Changed effective August 24, 2026. Qualified RCO Conductor and Qualified RCO Brakeman."
Port Arthur,Relief 3 RC,RC FO/S1,2,Port Arthur,5/12's,18:00 LP04,18:00 LP04,OFF,OFF,06:00 LP01,06:00 LP01,15:30 BM01,"Established effective August 24, 2026. Qualified RCO Conductor and Qualified RCO Brakeman. Working days follow the written assignment bullets; Wednesday and Thursday are OFF."
Mossville,RL10,EN/CO/B1,3,Mossville,5/12's,06:00,06:00,06:00,06:00,06:00,OFF,OFF,"Changed effective August 24, 2026. Qualified Engineer, Qualified Conductor, Qualified Brakeman."
Mossville,RL11,EN/CO/B1,3,Mossville,5/12's,12:00,12:00,12:00,12:00,12:00,OFF,OFF,"Changed effective July 27, 2026. Qualified Engineer, Qualified Conductor, Qualified Brakeman. No written August 24 change provided."
Mossville,L18,EN/CO,2,Mossville,5/12's,OFF,16:15,16:15,16:15,16:15,16:15,OFF,"Qualified Engineer and Qualified Conductor. No written August 24 change provided."
Mossville,RL13,EN/CO/B1,3,Mossville,5/12's,16:00,OFF,OFF,16:00,16:00,16:00,16:00,"Changed effective August 24, 2026. Qualified Engineer, Qualified Conductor, Qualified Brakeman."
Mossville,RL15,EN/CO/B1,3,Mossville,5/12's,18:00,18:00,18:00,OFF,OFF,18:00,18:00,"Changed effective August 24, 2026. Qualified Engineer, Qualified Conductor, Qualified Brakeman."
Mossville,R401,EN/FO/S1,3,Mossville,5/12's,16:15 OLCT18,17:00 YLCS13,17:00 YLCS13,18:00 YLCS15,18:00 YLCS15,OFF,OFF,"Relief job. No written August 24 change provided."
Mossville,RL12,EN/CO/B1,3,Mossville,5/12's,22:00,22:00,22:00,22:00,22:00,OFF,OFF,"Changed effective August 24, 2026. Qualified Engineer, Qualified Conductor, Qualified Brakeman."
Leesville,RL01,EN/FO,3,Leesville,5/12's,06:00,06:00,06:00,06:00,06:00,OFF,OFF,"Prior notice states Engineer, Conductor, Brakeman; no written August 24 change provided."
Leesville,RL04,EN/FO,2,Leesville,5/12's,OFF,12:00,12:00,12:00,12:00,12:00,OFF,"Qualified Engineer and Qualified Conductor. No written August 24 change provided."
Leesville,RL05,EN/CO,2,Leesville,5/12's,18:00,18:00,18:00,18:00,OFF,OFF,06:00,"Changed effective August 10, 2026. Qualified Engineer and Qualified Conductor. No written August 24 change provided."
